titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
Cuerpo de letra;Julián ,D’Angiolillo;"";2015;"";"";DCP;76 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150150;"<p>Un espacio vertical gigante, vac&iacute;o. Parte del decorado duro que se ve en una autopista. Podr&iacute;a dejarse as&iacute;, como ocurre en buena parte del mundo. Podr&iacute;a tener plantas, podr&iacute;a ser un mural. Pero, en Buenos Aires y alrededores, una pared de autopista puede convertirse &ndash;y se convierte con demasiada frecuencia&ndash; en propaganda pol&iacute;tica, meramente nombres y apellidos, o solo apellidos o alg&uacute;n sobrenombre en letras gigantescas. La pintada de estas letras se realiza mediante brigadas que se disputan esos espacios publicitarios ilegales. La pel&iacute;cula de D&rsquo;Angiolillo es una ficci&oacute;n cargada de documental, o viceversa. Lo que es innegable es el poder del director de Hacerme feriante de revelar mundos semiocultos con l&oacute;gicas propias, con c&oacute;digos y jerarqu&iacute;as propias, incluso por fuera de la legalidad que dicen defender los pol&iacute;ticos que usan sus servicios. Eze, Franky y el Narig&oacute;n son los protagonistas de este relato que examina de cerca &ndash;con narrativa cre&iacute;ble, &aacute;spera, inc&oacute;moda&ndash; conflictos territoriales, lealtades y traiciones: micropol&iacute;tica local. Javier Porta Fouz</p>";<p>I: Ezequiel Amorelli, Franky, Facundo Romero, Fredy Marske, Tute Ayala</p>;Pelicula
Atardecer ;Violeta ,Uman;"";2014;"";"";DM;14 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150123;"<p>Una mujer mayor, luego de perder a su marido de toda la vida, sale de vacaciones a un sitio donde sol&iacute;a veranear con &eacute;l. All&iacute;, convive con otras hu&eacute;spedes del hotel, desconect&aacute;ndose por momentos de su duelo.</p>";<p>I: Tamara Satanowsky, Cora Roca, Elvira Villarino</p>;Pelicula
Cuaderno de ramos generales ;Mariano ,Marcucci;"";2015;"";"";DM;7 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150149;"<p>Un inmigrante espa&ntilde;ol muere en 1931 en Alpachiri, La Pampa. Las anotaciones comerciales de un cuaderno encontrado ochenta a&ntilde;os despu&eacute;s intentan echar luz sobre sus &uacute;ltimos a&ntilde;os.<br /><br /></p>";<p>I: Mariano Marcucci, Vilma Sastre</p>;Pelicula
Bajo ;Ernesto ,Baca ;"";"";"";"";DM;3 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150125;"<p>Ensayo perform&aacute;tico realizado sobre diferentes superficies, un recorrido por lo bajo. Filmado en S&uacute;per 8 anam&oacute;rfico.<br /><br /></p>";<p>I: Lucila Ruiz</p>;Pelicula
Despedida ;Pablo ,Paniagua ;"";"";"";"";DM;6 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150123;"<p>Despu&eacute;s de veinte a&ntilde;os lejos de su pa&iacute;s natal, Victor Gourianov reflexiona sobre su pasado y presente.<br /><br /></p>";<p>&nbsp,I: V&iacute,ctor Gourianov</p>;Pelicula
Ella la noche ;Hans Dieter ,Fresen;"";2015;"";"";DM;18 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150123;"<p>Agustina deambula extasiada en medio de una fiesta electr&oacute;nica. A la madrugada vuelve a su casa, duerme un poco y se va a dar una vuelta por el parque. All&iacute; se pone a jugar con Mart&iacute;n y luego conoce a su padre, Pablo. Agustina logra seducir al padre y al hijo; juntos pasan la tarde conoci&eacute;ndose y desarrollando con ligereza un romance donde se pone en juego la idea de que ese d&iacute;a puede ser el momento en que dos extra&ntilde;os solitarios se encontraron.<br /><br /></p>";<p>I: Sof&iacute,a Brito, Esteban Bigliardi</p>;Pelicula
Huesitos de pollo ;Juan Manuel ,Ribelli;"";2015;"";"";DM;10 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150149;"<p>Madre e hija conviven solas entre el desprecio y la miseria en una casa del suburbano. El almuerzo las re&uacute;ne una y otra vez con los mismos sentimientos de odio mutuo. Naty, la hija travesti, narra lo que siente cada segundo hasta el brutal desenlace.<br /><br /></p>";<p>I: Naty Menstrual, Roxana Randon</p>;Pelicula
Ningun Lugar;Sebastian Muro;Maia Muravchik;2015;español;Argentina;archivos digitales;12 min;si;Hasta 30 Minutos - distribuidora de cortometrajes;"";"";"";"";Cortometraje
Enfrentar animales salvajes ;Jerónimo ,Quevedo;"";2014;"";"";DM;7 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150123;"<p>Miss Chile &lsquo;85 ha sido secuestrada por Tarz&aacute;n, rey de la jungla y m&aacute;ximo exponente del comando patri&oacute;tico antipinochetista Manuel Rodr&iacute;guez.<br /><br /></p>";"";Pelicula
Incendio/Rescate ;Juan ,Renau;"";2015;"";"";DM;19 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150149;"<p>Tres bomberos intentan no quedarse dormidos mientras esperan que un incendio los haga salir del cuartel. Incendio/Rescate observa &iacute;ntimamente, de una manera casi on&iacute;rica, a estos personajes que pasan su tiempo esperando la oportunidad de convertirse en h&eacute;roes.<br /><br /></p>";<p>I: Sergio S&aacute,nchez, Ezequiel Arata, Exequiel Ra&uacute,l Franco, Juan Manuel Ricci</p>;Pelicula
El infierno de Beatriz ;Marcos ,Migliavacca;"";2015;"";"";DM;16 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150125;"<p>&ldquo;El teatro es nerviosismo, una tensi&oacute;n monstruosa de nervios. Los instantes previos, la energ&iacute;a que desborda de los cuerpos, los saludos, los rituales. Se sale algo, como morir o matar, pienso. Llega el p&uacute;blico y entonces los momentos de soledad, la concentraci&oacute;n, la atenci&oacute;n feroz a cada detalle... La fiesta del monstruo&rdquo;. Viaje fantasmal de la dramaturga y directora teatral Beatriz Catani durante una funci&oacute;n de la obra Infierno.<br /><br /></p>";<p>I: Beatriz Catani</p>;Pelicula
Nexquipayac;Edén ,Bastida Kullick ;"";"";"";"";DCP;0 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150123;"<p>Con la excusa de un tractor averiado, entramos en la vida de los pobladores de Nexquipayac, M&eacute;xico, un pueblo en resistencia ante agresivas pol&iacute;ticas de privatizaci&oacute;n de la tierra por parte del gobierno nacional. Nos adentramos en su d&iacute;a a d&iacute;a, el entramado de relaciones personales, creencias y lazos de camarader&iacute;a. Todo esto atravesado por intert&iacute;tulos de pel&iacute;culas legendarias. Un cruce de ideolog&iacute;as, momentos hist&oacute;ricos y luchas.<br /><br /></p>";<p>I: Felipe &Aacute,lvarez Hern&aacute,ndez, Sergio V&aacute,zquez D&iacute,az, Baltazar Robles Hern&aacute,ndez,&nbsp,Ignacio Del Valle, Ad&aacute,n Espinosa</p>;Pelicula
Nexquipayac;Celeste ,Contratti;"";"";"";"";DCP;0 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150123;"<p>Con la excusa de un tractor averiado, entramos en la vida de los pobladores de Nexquipayac, M&eacute;xico, un pueblo en resistencia ante agresivas pol&iacute;ticas de privatizaci&oacute;n de la tierra por parte del gobierno nacional. Nos adentramos en su d&iacute;a a d&iacute;a, el entramado de relaciones personales, creencias y lazos de camarader&iacute;a. Todo esto atravesado por intert&iacute;tulos de pel&iacute;culas legendarias. Un cruce de ideolog&iacute;as, momentos hist&oacute;ricos y luchas.<br /><br /></p>";<p>I: Felipe &Aacute,lvarez Hern&aacute,ndez, Sergio V&aacute,zquez D&iacute,az, Baltazar Robles Hern&aacute,ndez,&nbsp,Ignacio Del Valle, Ad&aacute,n Espinosa</p>;Pelicula
El lado de los oponentes;Francisco ,Pedemonte;"";2015;"";"";DM;20 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150149;"<p>Basado en la historia real de una familia que realizaba secuestros extorsivos. Alejandro, el hijo menor, se encuentra ante una importante decisi&oacute;n cuando su padre le exige que participa en el rapto de uno de sus propios compa&ntilde;eros.<br /><br /></p>";<p>&nbsp,I: Felipe Grieben Saubidet,&nbsp,Jorge Bedini, Roc&iacute,o Bilota, Mauro Vekselman,&nbsp,Elena Bonora</p>;Pelicula
Nosotros, ustedes, ellos ;Pavel ,Marcano;"";2014;"";"";DM;14 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150123;"<p>Un encuentro por azar. Sin quererlo y sin planearlo, un d&iacute;a entero juntos. Quererse o creer que se quiere. Repetir la misma acci&oacute;n hasta el cansancio. Quererse, o querer creerlo. Ahora, simular estar contentos y jugar a evadirse cuantas veces sea necesario. El deber de separarse, saberlo, no querer, pero tener que hacerlo.<br /><br /></p>";<p>I: Javier Ulises Maestro, Pavel Marcano</p>;Pelicula
Paseo ;Renzo ,Cozza;"";2015;"";"";DM;13 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150149;"<p>In&eacute;s se ba&ntilde;a, tararea una canci&oacute;n. Piensa. Despu&eacute;s sale a dar un paseo y se pierde.<br /><br /></p>";<p>I: Miel Bargman, Mart&iacute,n Fern&aacute,ndez, <br />Guillermina Pico, D&eacute,bora Dejtiar, Lucas Besasso</p>;Pelicula
El ser magnético ;Mateo ,Bendesky;"";2015;"";"";DM;17 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150149;"<p>Aldo tiene 55 a&ntilde;os y vive con Pablo, su hermano mayor. Desde su casa, dirigen juntos una disciplina religiosa que invent&oacute; su padre y cuya pr&eacute;dica se desarrolla por Internet. Aldo est&aacute; cansado de ser pastor, pero no sabe c&oacute;mo decirlo.</p>";<p>I: Claudio Rangnau, Claudio Kustin, Iv&aacute,n Moschner</p>;Pelicula
Presente imperfecto ;Iair ,Said;"";2015;"";"";DM;15 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150125;"<p>Mart&iacute;n cumple a&ntilde;os. Un confuso regalo lo har&aacute; reflexionar y plantearse c&oacute;mo lo ven los dem&aacute;s.</p>";<p>I: Iair Said, Katia Szechtman,&nbsp,Agostina L&oacute,pez, Vladimir Duran, Marcelo Szechtman</p>;Pelicula
Tosie;Juan, Hendel;"";2015;"";"";DM;29 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150125;"<p>Tosie es una adolescente de familia oriental que vive y trabaja con su madre. Son floricultoras. Un d&iacute;a la madre cae en cama sin motivo aparente. Tosie debe hacerse cargo de todo en soledad, de manera inesperada. Su incipiente b&uacute;squeda personal se ve amenazada. Pero esta situaci&oacute;n la lleva a relacionarse con el entorno social, del cual se encontraba aislada. Este encuentro producir&aacute; en ella cambios inesperados.<br /><br /></p>";<p>I: Elena He, Gisele Amantegui, Lisandro Rodr&iacute,guez, Javier De Pietro, Ingrid Mosches</p>;Pelicula
Al despertar ;Diana ,Ojeda Suárez;"";2015;"";"";DM;5 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150112;"<p>Despu&eacute;s de seis a&ntilde;os y seis meses, el despertar no ser&aacute; el mismo. A&ntilde;os de compartir se condensan en un recorrido desde el amanecer hasta la medianoche por las calles de San Telmo, mientras se vuelve a&uacute;n m&aacute;s dif&iacute;cil decir adi&oacute;s.<br /><br /></p>";"";Pelicula
Punto cero;Michelle Gualda;Ana Pauls;2015;español;Argentina;archivos digitales;10 min;si;Hasta 30 Minutos - distribuidora de cortometrajes;"";"";"";"";Cortometraje
Generación artificial;Federico ,Pintos;"";2015;"";"";DCP;62 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150195;"<p>Bienvenidos a la pel&iacute;cula m&aacute;s graciosa, libre, afilada y, por qu&eacute; no, m&aacute;s seria sobre su asunto que el cine argentino ha producido en mucho (acaso demasiado) tiempo. Es radical Generaci&oacute;n artificial, y es encantadora, y ya que alguien haya logrado poner esas dos cosas en el mismo flujo de im&aacute;genes es un m&eacute;rito enorme. Quiz&aacute;s esto sea as&iacute; porque el director, Fede Pintos, est&aacute; interpretado en el film por otra persona (Rafael Cippolini), y all&iacute; se arma una especie de vaporoso esquema Jekyll y Hyde. O quiz&aacute;s sea porque el tema del documental dentro de la ficci&oacute;n dentro del documental que es Generaci&oacute;n artificial es el universo de los VJ o Video Jockeys, ese lenguaje perdido o diluido que supo estar obligado a la radicalidad hipn&oacute;tica y hoy ya no tanto. Los Fede Pintos de la pel&iacute;cula despliegan la historia del g&eacute;nero a partir de un gimmick perfecto: la b&uacute;squeda de un VJ pionero que busca hackear el cerebro humano a trav&eacute;s de im&aacute;genes de video. El gran thriller hist&oacute;rico de la generaci&oacute;n pre-Vine y pre-Vice ya est&aacute; entre nosotros y es casi un documental. Aplausos.&nbsp; Marcelo Panozzo</p>";<p>I: Rafael Cippolini, Juli&aacute,n Urman, Lul&uacute, Jankilevich, Ailaviu VJ, Fede Lamas</p>;Pelicula
Así camino ;Noelia ,de Mena;"";2015;"";"";DM;14 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150118;"<p>Ronaldo no camina solo. Ronaldo sabe que en cada rito una ausencia le da la mano; sabe que todo lo que hace era de a dos; sabe que los recuerdos miran desde las fotos. Una taza, un vaso, un plato solo pueden justificarse en su par. Ronaldo lo sabe, sabe que si la pinta va a aceptar que se fue. Sabe que, con la &uacute;ltima pincelada, ella queda del otro lado de la memoria.<br /><br /></p>";<p>I: Ronaldo Manuel Gonz&aacute,lez</p>;Pelicula
Guido Models;Julieta ,Sans;"";2015;"";"";DM;68 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150199;"<p>&ldquo;Lo de anticuchero no era su sue&ntilde;o, as&iacute; que, tras probar con algunos trabajos y ser despedido en un par de ocasiones, Guido empez&oacute; como ayudante de cortador en un taller textil&rdquo;. El p&aacute;rrafo se ubica a la mitad de un espl&eacute;ndido perfil de Guido Fuentes (Tarija, Bolivia, 1974) publicado por la p&aacute;gina del Consulado de Bolivia en Rosario. El dato se ubica, asimismo, en la mitad de la vida de Guido Fuentes; si no es exactamente en la mitad, se trata del hecho que la parti&oacute; en dos: de all&iacute; en adelante, Fuentes se dedic&oacute; al mundo de la moda, para terminar abriendo su propio emprendimiento, Guido Models, mitad escuela, mitad agencia de modelos, en la Villa 31 porte&ntilde;a. Otro retrato espl&eacute;ndido es el documental Guido Models, firmado por la fot&oacute;grafa argentina Julieta Sans, acaso menos edulcorado, pero m&aacute;s agridulce y definitivamente m&aacute;s pregnante: la directora sigue a Guido y sus models con la distancia justa, la que permite ver que el mago y las princesas funcionan muy bien en close-up, pero cuando se abre el cuadro entra una realidad &aacute;rida con la que hay que lidiar y que acaso sea la clave de esta peque&ntilde;a epopeya. Marcelo Panozzo</p>";<p>Guido Fuentes, Sonia Le&oacute,n, Delia C&aacute,ceres</p>;Pelicula
Idilio;Nicolás ,Aponte A. Gutter;"";2015;"";"";DM;86 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150209;"<p>Idilio se presenta como una historia de amor. S&iacute;, Camila est&aacute; enamorada, &ldquo;hecha una tarada&rdquo;: as&iacute; comienza la pel&iacute;cula, ese es su primer cap&iacute;tulo. Desde que est&aacute; enamorada ve el mundo con una sonrisa entusiasta, tal vez demasiado. Sebasti&aacute;n, su amigo y confidente, la escucha, la aguanta. Incluso intenta ser racional con una amabilidad bastante imperturbable. La relaci&oacute;n que tiene enamorada a Camila, bueno, la cuenta la pel&iacute;cula. &iquest;C&oacute;mo la cuenta? En blanco y negro, con cap&iacute;tulos separados por canciones, con planos fijos que mayormente muestran a la protagonista, una actriz llamada Paula Carruega que, en su primer protag&oacute;nico cinematogr&aacute;fico, sostiene un viaje emocional que a priori parec&iacute;a imposible en estas condiciones minimalistas. Pero Carruega deslumbra, y las condiciones de la pel&iacute;cula &ndash;que cuenta con gestos, di&aacute;logos, inflexiones, nervios y reacciones de una precisi&oacute;n notable&ndash; se prueban como adecuadas &ndash;hasta justas, como la aparici&oacute;n del contraplano&ndash; para contar esta historia que quiz&aacute;s, m&aacute;s que de amor, sea de maduraci&oacute;n, del tipo inseparable del dolor. Javier Porta Fouz</p>";<p>Paula Carruega, Manuel Novoa</p>;Pelicula
Ánima ;Clara ,Frías;"";2015;"";"";DM;7 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150118;"<p>Retrato de la flor Epiphyllum oxypetalum. El pimpollo crece durante 25 d&iacute;as, florece una noche y a la ma&ntilde;ana siguiente muere. Registro y percepci&oacute;n subjetiva del flujo del tiempo.<br /><br /></p>";"";Pelicula
Lulú;Luis ,Ortega;"";2014;"";"";DCP;87 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150253;"<p>Ludmila y Lucas viven en una casucha en una de las zonas m&aacute;s paquetas de la Ciudad de Buenos Aires. Ludmila anda en una silla de ruedas (tiene una bala en su cuerpo que parece haberla llevado a eso), aunque quiz&aacute;s no lo necesite; lo hace porque s&iacute;, o para pedir dinero. Lucas trabaja levantando huesos y desechos de carnicer&iacute;as en un cami&oacute;n, y pasa gran parte de su tiempo dando vueltas por la ciudad, con un arma que de vez en cuando usa para amenazar, para robar o para tirar unos balines a donde se le ocurra. Con inmensas actuaciones de Nahuel P&eacute;rez Biscayart y Ail&iacute;n Salas, Lul&uacute; es una suerte de celebraci&oacute;n euf&oacute;rica del amor que da cuenta de la dificultad que estos dos esp&iacute;ritus libres, aparentemente dispuestos a hacer cualquier cosa, encuentran para sostenerlo. Las tensiones entre la norma y la libertad, la ley y el deseo, la enfermedad y la salud aqu&iacute; aparecen retratadas bajo la mirada de un director que, evidentemente, ya ha encontrado su propio pulso cinematogr&aacute;fico. Violeta Bava</p>";<p>I: Ail&iacute,n Salas, Nahuel P&eacute,rez Biscayart, Daniel Melingo</p>;Pelicula
Matías y Jerónimo ;Gerardo “Papu” ,Curotto;"";2015;"";"";DM;9 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150118;"<p>Mat&iacute;as y Jer&oacute;nimo se conocen desde la infancia. Su amistad, una fuerte alianza, mezcla de juego y deseo, cambia la noche en que van al carnaval. Juntos presencian c&oacute;mo un grupo de j&oacute;venes le da una paliza a un chico gay detr&aacute;s de las gradas. No dicen nada de lo que ven, y el silencio da paso a la distancia entre los amigos.<br /><br /></p>";<p>I: Rodrigo Coutinho Da Silva, Gabriel Rost</p>;Pelicula
IL PECCATORE;FRANCESCO TRUDU;MEDIA PREMIER;2014;ITALIA;Italia;DCP;48 min;si;MEDIA PREMIER;"";"";"";"";Largometraje
Madres de los dioses;Pablo ,Agüero;"";20154;"";"";DCP;84 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150255;"<p>Pablo Ag&uuml;ero regresa a El Bols&oacute;n para narrar en tres movimientos (Apocalipsis, Iluminaci&oacute;n y G&eacute;nesis) la vida de cuatro mujeres que en un momento dado deciden abandonar sus vidas y comenzar de cero, asumir un nuevo credo, construir un templo. Madres de los dioses es el retrato hipn&oacute;tico, misterioso y no exento de cierta sensualidad de Samiha, Humana, Mar&iacute;a y Maico&ntilde;o. Todas ellas han abrazado el entorno enigm&aacute;tico de El Bols&oacute;n como &uacute;ltimo refugio frente al pasado y la soledad, cada una se compromete con una espiritualidad diferente y, sin embargo, hay algo que las une y convoca para que en las noches de luna llena se re&uacute;nan en torno a una hoguera. Ellas (y citamos el bell&iacute;simo parlamento final del film, recitado por Geraldine Chaplin) &ldquo;han creado cada una su propio dios, su propia religi&oacute;n, su propio templo, y sin embargo forman un solo pueblo&rdquo;. Ellas son las nuevas mujeres. Fran Gayo</p>";<p>Geraldine Chaplin, Samiha Aguirre, Maico&ntilde,o Guitart, Mar&iacute,a Merino, Humana Espectral Amarilla</p>;Pelicula
Mar;Dominga ,Sotomayor;"";2014;"";"";DCP;60 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150257;"<p>La ruta, un auto y cierta tensi&oacute;n familiar perceptible en el aire parecen ser, una vez m&aacute;s, los elementos b&aacute;sicos que necesita Sotomayor para organizar el relato. En este caso se trata de un viaje a Villa Gesell, y el film comienza con el conflicto ya estallado: encontramos a Mart&iacute;n, que est&aacute; con su novia Eli, al costado de la ruta, discutiendo por tel&eacute;fono con su madre porque esta no le dio los papeles del auto. R&aacute;pidamente, la pel&iacute;cula pone de relieve el agobio y la dificultad de la relaci&oacute;n de pareja durante las vacaciones y sin una rutina que los contenga. En este contexto, la llegada de la madre de Mart&iacute;n intensificar&aacute; los problemas ya instalados. La mirada atenta y aguda de la directora capta muy bien el c&uacute;mulo de detalles y acciones que forman parte de este veraneo, entre la pileta y la playa: la entrega de la casa alquilada, los mates, la guitarreada, el fog&oacute;n. Si bien, a priori, estos elementos podr&iacute;an conformar unas vacaciones agradables, aqu&iacute; nos van revelando, de manera sutil y a trav&eacute;s de un exquisito uso del lenguaje, el estado de crisis y desgaste en las relaciones de los personajes. Violeta Bava</p>";<p>Lisandro Rodr&iacute,guez, Vanina Montes, Andrea Strenitz</p>;Pelicula
Cosa de niños ;Diego,Escárate Urrutia;"";2014;"";"";DM;13 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150146;"<p>Cote (11) se dirige a la escuela como cualquier d&iacute;a, no sin antes pasar por el kiosco a comprar un juguito. Pero no tiene plata, y tampoco le quieren fiar. Cote y sus amigos intentar&aacute;n conseguir dinero, y para eso deber&aacute;n atravesar desaf&iacute;os propios de los adultos.<br /><br /></p>";"";Pelicula
De día la noche;Leonardo ,Funes ;"";2015;"";"";DM;29 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150153;"<p>Mar&iacute;a y Paula se juntan con el fin de preparar una fiesta en una casa vac&iacute;a del Gran Buenos Aires. Entre charlas y cervezas de por medio esperan a Lucas, la tercera punta del tri&aacute;ngulo, quien al llegar romper&aacute; la tranquilidad de esa tarde calurosa.</p>";<p>I: Luciana Grasso, Paula Cancela, Guido Botto Fiora</p>;Pelicula
De día la noche;Francisco ,Chiapparo;"";2015;"";"";DM;29 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150153;"<p>Mar&iacute;a y Paula se juntan con el fin de preparar una fiesta en una casa vac&iacute;a del Gran Buenos Aires. Entre charlas y cervezas de por medio esperan a Lucas, la tercera punta del tri&aacute;ngulo, quien al llegar romper&aacute; la tranquilidad de esa tarde calurosa.</p>";<p>I: Luciana Grasso, Paula Cancela, Guido Botto Fiora</p>;Pelicula
De día la noche;Lucila,Brea;"";2015;"";"";DM;29 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150153;"<p>Mar&iacute;a y Paula se juntan con el fin de preparar una fiesta en una casa vac&iacute;a del Gran Buenos Aires. Entre charlas y cervezas de por medio esperan a Lucas, la tercera punta del tri&aacute;ngulo, quien al llegar romper&aacute; la tranquilidad de esa tarde calurosa.</p>";<p>I: Luciana Grasso, Paula Cancela, Guido Botto Fiora</p>;Pelicula
Miramar;Fernando ,Sarquís;"";2015;"";"";DM;69 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150267;"<p>La rutina de un balneario cordob&eacute;s fuera de temporada se altera levemente con la aparici&oacute;n de Javier, un joven que llega a quedarse en la hoster&iacute;a donde trabaja Sof&iacute;a. No se conoce mucho de sus razones para estar en ese lugar en ese momento, pero la relaci&oacute;n entre ellos se estrecha a partir de una conversaci&oacute;n que se extender&aacute; por varios d&iacute;as en los que recorren la ciudad y cada uno relata sus historias. As&iacute;, por azar, los dos destinos se cruzan. El de ella, con un futuro por delante, lejos de su familia y con una reciente noticia: entre las tareas cotidianas y un padre enfermo, Sof&iacute;a debe tomar una dif&iacute;cil decisi&oacute;n. El de &eacute;l, empujado desde el pasado, escapando de una situaci&oacute;n envuelta por el misterio que lo obliga a superarla o a vivir atrapado en ella. El agua se mueve en la orilla del lago, inunda las ruinas de las zonas devastadas y se escapa por las ca&ntilde;er&iacute;as viejas, enfrentando a los personajes con dif&iacute;ciles decisiones y el inevitable proceso de crecer. Leandro Listorti</p>";<p>Florencia Decall, Maximiliano Gallo, Eva Bianco, Eduardo Rivetto</p>;Pelicula
Meet Me at the Bottom;Marcos Santiago ,Colombo;"";2014;"";"";DM;3 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150153;"<p>Videoclip animado de la canci&oacute;n &ldquo;Meet Me at the Bottom&rdquo;, del cantante LD Bundy.<br /><br /></p>";"";Pelicula
Nueva vida ;Kiro ,Russo;"";2015;"";"";DM;15 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150146;"<p>Misterios, angustias y sue&ntilde;os de una nueva vida.<br /><br /></p>";<p>I: Warita Guzman, Ana Colque, Teo Guzman</p>;Pelicula
Flegetón;Jonatan Schutz;Elizabeth Guimaraes;2015;Español;Argentina;Archivo digital ProRes LT (4K);12 min;si;TMF Cine;No tuvo;"";"";"";Cortometraje
Entramada;Andres schinocca cambiaso; Florencia Apduch, Andrés Schinocca Cambiaso;2015;español;Argentina;archivos digitales;5 min;si;Hasta 30 Minutos - distribuidora de cortometrajes;"";"";"";"";Cortometraje
